Title	AvgRating	UserCount
Shawshank Redemption, The (1994)	4.554557700942973	2227
Godfather, The (1972)	4.524966261808367	2223
Usual Suspects, The (1995)	4.517106001121705	1783
Schindler's List (1993)	4.510416666666667	2304
Raiders of the Lost Ark (1981)	4.477724741447892	2514
Rear Window (1954)	4.476190476190476	1050
Star Wars: Episode IV - A New Hope (1977)	4.453694416583082	2991
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	4.4498902706656915	1367
Casablanca (1942)	4.412822049131217	1669
Sixth Sense, The (1999)	4.406262708418057	2459
Maltese Falcon, The (1941)	4.395973154362416	1043
One Flew Over the Cuckoo's Nest (1975)	4.390724637681159	1725
Citizen Kane (1941)	4.388888888888889	1116
North by Northwest (1959)	4.38403041825095	1315
Godfather: Part II, The (1974)	4.357565011820331	1692
Silence of the Lambs, The (1991)	4.3518231186966645	2578
Chinatown (1974)	4.339240506329114	1185
Saving Private Ryan (1998)	4.337353938937053	2653
Monty Python and the Holy Grail (1974)	4.335209505941213	1599
Life Is Beautiful (La Vita ̬ bella) (1997)	4.329861111111111	1152
Sting, The (1973)	4.320305052430887	1049
American Beauty (1999)	4.3173862310385065	3428
Matrix, The (1999)	4.315830115830116	2590
Princess Bride, The (1987)	4.3037100949094045	2318
Boat, The (Das Boot) (1981)	4.302697302697303	1001
Star Wars: Episode V - The Empire Strikes Back (1980)	4.292976588628763	2990
Pulp Fiction (1994)	4.278212805158913	2171
GoodFellas (1990)	4.275196137598069	1657
Blade Runner (1982)	4.273333333333333	1800
Fargo (1996)	4.254675686430561	2513
Amadeus (1984)	4.251808972503618	1382
African Queen, The (1951)	4.251655629139073	1057
Young Frankenstein (1974)	4.250628667225482	1193
Wizard of Oz, The (1939)	4.247962747380675	1718
Graduate, The (1967)	4.245836637589215	1261
Apocalypse Now (1979)	4.243197278911564	1176
Christmas Story, A (1983)	4.238905325443787	1352
Braveheart (1995)	4.234957020057307	2443
Run Lola Run (Lola rennt) (1998)	4.224813432835821	1072
L.A. Confidential (1997)	4.219405594405594	2288
Toy Story 2 (1999)	4.218927444794953	1585
Psycho (1960)	4.218527315914489	1263
Butch Cassidy and the Sundance Kid (1969)	4.215644820295983	1419
Sling Blade (1996)	4.208156329651657	1177
Glory (1989)	4.193345323741007	1112
Taxi Driver (1976)	4.183870967741935	1240
This Is Spinal Tap (1984)	4.179785330948121	1118
Good Will Hunting (1997)	4.176356589147287	1548
Alien (1979)	4.159584980237154	2024
Green Mile, The (1999)	4.154664484451718	1222
Terminator, The (1984)	4.152049571020019	2098
Toy Story (1995)	4.146846413095811	2077
Annie Hall (1977)	4.14167916041979	1334
Reservoir Dogs (1992)	4.13582208101668	1259
Indiana Jones and the Last Crusade (1989)	4.133292383292384	1628
Shakespeare in Love (1998)	4.127479949345715	2369
Aliens (1986)	4.125824175824176	1820
Being John Malkovich (1999)	4.125390450691656	2241
M*A*S*H (1970)	4.124658780709736	1099
Die Hard (1988)	4.121848739495798	1666
Ferris Bueller's Day Off (1986)	4.11744738628649	1473
Full Metal Jacket (1987)	4.110845295055821	1254
Seven (Se7en) (1995)	4.106420404573439	1137
Gladiator (2000)	4.106029106029106	1924
Shining, The (1980)	4.104875804967802	1087
Fugitive, The (1993)	4.103258145363409	1995
Stand by Me (1986)	4.0969187675070025	1785
Platoon (1986)	4.090113735783027	1143
Jaws (1975)	4.089569829110195	1697
Forrest Gump (1994)	4.087967183226983	2194
Clockwork Orange, A (1971)	4.0781122864117165	1229
Fight Club (1999)	4.077188146106134	1451
Apollo 13 (1995)	4.073541167066347	1251
When Harry Met Sally... (1989)	4.073341836734694	1568
2001: A Space Odyssey (1968)	4.068764568764569	1716
Terminator 2: Judgment Day (1991)	4.058512646281616	2649
Rain Man (1988)	4.053383458646617	1330
Animal House (1978)	4.053024026512014	1207
Hunt for Red October, The (1990)	4.052058111380146	1652
Blazing Saddles (1974)	4.047363717605005	1119
Star Wars: Episode VI - Return of the Jedi (1983)	4.022892819979188	2883
Raising Arizona (1987)	4.02092050209205	1434
Close Encounters of the Third Kind (1977)	4.0144727773949	1451
Untouchables, The (1987)	4.007985803016859	1127
